Provincia,Localidad,Municipio,Departamento,Latitud,Longitud
Buenos Aires,ALBERTI,Alberti,Alberti,-35.0330734347841,-60.2806197287099
Buenos Aires,CORONEL SEGUI,Alberti,Alberti,-34.8681189984321,-60.3939708823404
Buenos Aires,MECHITA,Alberti,Alberti,-35.068013673391,-60.4025971632697
Buenos Aires,PLA,Alberti,Alberti,-35.1243819752343,-60.2200612615259
Buenos Aires,VILLA GRISOLIA,Alberti,Alberti,-35.1096178332808,-60.070551324606
Buenos Aires,VILLA MARIA,Alberti,Alberti,-34.8881255447686,-60.3469385614883
Buenos Aires,VILLA ORTIZ,Alberti,Alberti,-34.8435329449862,-60.3048498633642
Buenos Aires,ADROGUE,Almirante Brown,Almirante Brown,-34.8015580737331,-58.3914677191541
Buenos Aires,BURZACO,Almirante Brown,Almirante Brown,-34.8315415891783,-58.3986874871405
Buenos Aires,CLAYPOLE,Almirante Brown,Almirante Brown,-34.8044759080477,-58.3447825531042
Buenos Aires,DON ORIONE,Almirante Brown,Almirante Brown,-34.8210751643113,-58.3447457989957
Buenos Aires,GLEW,Almirante Brown,Almirante Brown,-34.8860114180413,-58.3818301842512
Buenos Aires,JOSE MARMOL,Almirante Brown,Almirante Brown,-34.7851442510713,-58.3681475603787
Buenos Aires,LONGCHAMPS,Almirante Brown,Almirante Brown,-34.8609450255718,-58.3891476922426
Buenos Aires,MALVINAS ARGENTINAS,Almirante Brown,Almirante Brown,-34.8189583169642,-58.4235610606239
Buenos Aires,MINISTRO RIVADAVIA,Almirante Brown,Almirante Brown,-34.8556895005541,-58.361646542791
Buenos Aires,RAFAEL CALZADA,Almirante Brown,Almirante Brown,-34.7911367513318,-58.350598184222
Buenos Aires,SAN FRANCISCO SOLANO,Almirante Brown,Almirante Brown,-34.7866743578473,-58.3219363521574
Buenos Aires,SAN JOSE,Almirante Brown,Almirante Brown,-34.7673771924196,-58.3432771404358
Buenos Aires,AREA CINTURON ECOLOGICO,Avellaneda,Avellaneda,-34.6750056478488,-58.3105634248142
Buenos Aires,AVELLANEDA,Avellaneda,Avellaneda,-34.6626508059016,-58.3656990232718
Buenos Aires,CRUCESITA,Avellaneda,Avellaneda,-34.66910587351,-58.3574544412345
Buenos Aires,DOCK SUD,Avellaneda,Avellaneda,-34.6491266928534,-58.3411774769136
Buenos Aires,GERLI,Avellaneda,Avellaneda,-34.6847637540553,-58.3726025503412
Buenos Aires,PIÑEYRO,Avellaneda,Avellaneda,-34.6685497926645,-58.3886029123689
Buenos Aires,SARANDI,Avellaneda,Avellaneda,-34.6843716640855,-58.348101313379
Buenos Aires,VILLA DOMINICO,Avellaneda,Avellaneda,-34.6986315148924,-58.3363602646664
Buenos Aires,WILDE,Avellaneda,Avellaneda,-34.7061588356333,-58.3218349208501
Buenos Aires,AYACUCHO,Ayacucho,Ayacucho,-37.1536695670417,-58.4895476662462
Buenos Aires,LA CONSTANCIA,Ayacucho,Ayacucho,-37.2286256057071,-58.7603890048806
Buenos Aires,SOLANET,Ayacucho,Ayacucho,-36.8444984439739,-58.5071421689017
Buenos Aires,UDAQUIOLA,Ayacucho,Ayacucho,-36.5637513540211,-58.5333344196536
Buenos Aires,ARIEL,Azul,Azul,-36.5312544192466,-59.9200651844348
Buenos Aires,AZUL,Azul,Azul,-36.7795144970313,-59.8586331707414
Buenos Aires,CACHARI,Azul,Azul,-36.3805626332947,-59.5030645507265
Buenos Aires,CHILLAR,Azul,Azul,-37.3150113247344,-59.9853181679139
Buenos Aires,16 DE JULIO,Azul,Azul,-37.2020524773603,-60.1652139181813
Buenos Aires,BAHIA BLANCA,Bahía Blanca,Bahía Blanca,-38.7114037284555,-62.2569089501864
Buenos Aires,GRÜNBEIN,Bahía Blanca,Bahía Blanca,-38.7471079502848,-62.1891166907456
Buenos Aires,INGENIERO WHITE,Bahía Blanca,Bahía Blanca,-38.7794670416666,-62.262951248824
